name,reason
"Community Health Center, Mudagal, (FRU)",outside Bengaluru
"Community Health Center, Kavital",outside Bengaluru
"Community Health Center, J Mallapur",outside Bengaluru
"Community Health Center, Anavatti",outside Bengaluru
"Community Health Center, Holehonnur",outside Bengaluru
"Community Health Center, Anadapuram",outside Bengaluru
"Community Health Center, Shiralakoppa",outside Bengaluru
"Community Health Center, Ayanur",outside Bengaluru
"Community Health Center, Holaluru",outside Bengaluru
"Community Health Center, Kannangi",outside Bengaluru
"Community Health Center, Shirali",outside Bengaluru
"Community Health Center, Dandeli",outside Bengaluru
"Community Health Center, Pala",outside Bengaluru
"Community Health Center, Niadagundi",outside Bengaluru
"Community Health Center, Tadawalaga",outside Bengaluru
"Community Health Center, Chadachan",outside Bengaluru
"Community Health Center, Talikoti, (FRU)",outside Bengaluru
"Community Health Center, Kalagi",outside Bengaluru
"Community Health Center, Nalatwad",outside Bengaluru
"Community Health Center, Almelu",outside Bengaluru
"Community Health Center, Kalkere",outside Bengaluru
"Community Health Center, Maratagi",outside Bengaluru
"Community Health Center, Kagwad",outside Bengaluru
"Community Health Center, Mudalagi",outside Bengaluru
"Community Health Center, Nandagada",outside Bengaluru
"Community Health Center, Kudachi",outside Bengaluru
"Community Health Center, Mugalkhed",outside Bengaluru
"Community Health Center, Hosakoti",outside Bengaluru
"Community Health Center, Yaragatti",outside Bengaluru
"Community Health Center, Hirebagewadi",outside Bengaluru
"Community Health Center, Examba",outside Bengaluru
"Community Health Center, Nippani, (FRU)",outside Bengaluru
"Community Health Center, Kabburu",outside Bengaluru
"Community Health Center, Sankeshwara, (FRU)",outside Bengaluru
"Community Health Center, Nidasosi",outside Bengaluru
"Community Health Center, Santemarahalli, (FRU)",outside Bengaluru
"Community Health Center, Kabballi, (FRU)",outside Bengaluru
"Community Health Center, Beguru, (FRU)",outside Bengaluru
"Community Health Center, Kerebilachi",outside Bengaluru
"Community Health Center, Santhebennur",outside Bengaluru
"Community Health Center, Arasikere",outside Bengaluru
"Community Health Center, Telagi",outside Bengaluru
"Community Health Center, Malebennur",outside Bengaluru
"Community Health Center, Nyamathi",outside Bengaluru
"Community Health Center, Doddakunche",outside Bengaluru
"Community Health Center, Halli Mysore",outside Bengaluru
"Community Health Center, Paduvalahippe",outside Bengaluru
"Community Health Center, Hirisave",outside Bengaluru
"Community Health Center, Nuggehalli",outside Bengaluru
"Community Health Center, Sravanabelagola",outside Bengaluru
"Community Health Center, Udayapura",outside Bengaluru
"Community Health Center, Gandasi",outside Bengaluru
"Community Health Center, J.C Pura",outside Bengaluru
"Community Health Center, Dudda",outside Bengaluru
"Community Health Center, Mosale Hosahalli",outside Bengaluru
"Community Health Center, Shanthigrama",outside Bengaluru
"Community Health Center, Arehalli",outside Bengaluru
"Community Health Center, Halebeedu",outside Bengaluru
"Community Health Center, Konanur",outside Bengaluru
"Community Health Center, Khushalnagar, (FRU)",outside Bengaluru
"Community Health Center, Sanivarasanthe",outside Bengaluru
"Community Health Center, Ganikoppal, (FRU)",outside Bengaluru
"Community Health Center, Kutta",outside Bengaluru
"Community Health Center, Polibetta",outside Bengaluru
"Community Health Center, Siddapura",outside Bengaluru
"Community Health Center, Napoklu",outside Bengaluru
"Community Health Center, Gownipalli",outside Bengaluru
"Community Health Center, Bethamangala",outside Bengaluru
"Community Health Center, Karatagi, (FRU)",outside Bengaluru
"Community Health Center, Kanakagiri",outside Bengaluru
"Community Health Center, Sriramnagar",outside Bengaluru
"Community Health Center, Hiresindogi, (FRU)",outside Bengaluru
"Community Health Center, Munirabad",outside Bengaluru
"Community Health Center, Tavargera",outside Bengaluru
"Community Health Center, Kukkanoor, (FRU)",outside Bengaluru
"Community Health Center, H.Vankalakunta",outside Bengaluru
"Community Health Center, Mangalore",outside Bengaluru
"Community Health Center, K M Doddi",outside Bengaluru
"Community Health Center, Kirugavalu",outside Bengaluru
"Community Health Center, Shivalli (24X7)",outside Bengaluru
"Community Health Center, Keelara",outside Bengaluru
"Community Health Center, Belluru",outside Bengaluru
"Community Health Center, Bindiganavile",outside Bengaluru
"Community Health Center, Chinakurali",outside Bengaluru
"Community Health Center, Arakere",outside Bengaluru
"Community Health Center, Bookanakere",outside Bengaluru
"Community Health Center, Kikkeri",outside Bengaluru
"Community Health Center, Saragur",outside Bengaluru
"Community Health Center, Saligrama, (FRU)",outside Bengaluru
"Community Health Center, Ashokapuram UCHC",outside Bengaluru
"Community Health Center, Jayanagar UCHC",outside Bengaluru
"Community Health Center, Jayapura",outside Bengaluru
"Community Health Center, Hullahalli",outside Bengaluru
"Community Health Center, Tagadur",outside Bengaluru
"Community Health Center, Bannur, (FRU)",outside Bengaluru
"Community Health Center, Talakad",outside Bengaluru
"Community Health Center, MUGUR",outside Bengaluru
"Community Health Center, Bidadi",outside Bengaluru
"Community Health Center, Soluru",outside Bengaluru
"Community Health Center, Harohalli",outside Bengaluru
"Community Health Center, Sathanur",outside Bengaluru
"Community Health Center, Tirumani",outside Bengaluru
"Community Health Center, Y.N.Hosakote",outside Bengaluru
