ward_no,ward_label,minutes,minutes_direct_only,minutes_800m,minutes_frequent,minutes_general,straight_line_km,easting,northing
4,4-Yelahanka Satellite Town,22.25661930345951,22.25661930345951,22.25661930345951,22.25661930345951,22.25661930345951,1.7805295442767606,780321.625,1448271.0
4,4-Yelahanka Satellite Town,20.30973407256975,20.30973407256975,20.30973407256975,20.30973407256975,20.30973407256975,1.6247787258055801,780571.625,1448271.0
4,4-Yelahanka Satellite Town,18.685415258373972,18.685415258373972,18.685415258373972,18.685415258373972,18.685415258373972,1.494833220669918,780821.625,1448271.0
4,4-Yelahanka Satellite Town,17.473850138342414,17.473850138342414,17.473850138342414,17.473850138342414,17.473850138342414,1.3979080110673932,781071.625,1448271.0
4,4-Yelahanka Satellite Town,16.76476614619552,16.76476614619552,16.76476614619552,16.76476614619552,16.76476614619552,1.3411812916956416,781321.625,1448271.0
1,1-Kempegowda Ward,16.622592433672843,16.622592433672843,16.622592433672843,16.622592433672843,16.622592433672843,1.3298073946938276,781571.625,1448271.0
1,1-Kempegowda Ward,17.06150709918007,17.06150709918007,17.06150709918007,17.06150709918007,17.06150709918007,1.3649205679344056,781821.625,1448271.0
1,1-Kempegowda Ward,18.039144097621325,18.039144097621325,18.039144097621325,18.039144097621325,18.039144097621325,1.4431315278097059,782071.625,1448271.0
1,1-Kempegowda Ward,19.474538891951216,19.474538891951216,19.474538891951216,19.474538891951216,19.474538891951216,1.5579631113560972,782321.625,1448271.0
5,5-Jakkuru,21.275240547018377,21.275240547018377,21.275240547018377,21.275240547018377,21.275240547018377,1.70201924376147,782571.625,1448271.0
5,5-Jakkuru,23.3569113029285,23.3569113029285,23.3569113029285,23.3569113029285,23.3569113029285,1.8685529042342799,782821.625,1448271.0
5,5-Jakkuru,,,43.136924567728286,,,2.0520990243432107,783071.625,1448271.0
5,5-Jakkuru,,,43.80319045062195,,,2.2484952424895974,783321.625,1448271.0
5,5-Jakkuru,,,52.91377025259621,,,2.1937402477443957,783571.625,1448271.0
5,5-Jakkuru,24.3599603420307,24.3599603420307,24.3599603420307,24.3599603420307,24.3599603420307,1.948796827362456,783821.625,1448271.0
5,5-Jakkuru,21.31652042028636,21.31652042028636,21.31652042028636,21.31652042028636,21.31652042028636,1.7053216336229087,784071.625,1448271.0
5,5-Jakkuru,18.3005920065899,18.3005920065899,18.3005920065899,18.3005920065899,18.3005920065899,1.4640473605271918,784321.625,1448271.0
5,5-Jakkuru,15.328422709295264,15.328422709295264,15.328422709295264,15.328422709295264,15.328422709295264,1.2262738167436211,784571.625,1448271.0
5,5-Jakkuru,12.43143868255061,12.43143868255061,12.43143868255061,12.43143868255061,12.43143868255061,0.9945150946040487,784821.625,1448271.0
5,5-Jakkuru,9.677398549258596,9.677398549258596,9.677398549258596,9.677398549258596,9.677398549258596,0.7741918839406877,785071.625,1448271.0
5,5-Jakkuru,7.231505212911706,7.231505212911706,7.231505212911706,7.231505212911706,7.231505212911706,0.5785204170329366,785321.625,1448271.0
5,5-Jakkuru,5.519831755365916,5.519831755365916,5.519831755365916,5.519831755365916,5.519831755365916,0.4415865404292733,785571.625,1448271.0
5,5-Jakkuru,5.307887298231074,5.307887298231074,5.307887298231074,5.307887298231074,5.307887298231074,0.42463098385848586,785821.625,1448271.0
5,5-Jakkuru,6.7386973914770465,6.7386973914770465,6.7386973914770465,6.7386973914770465,6.7386973914770465,0.5390957913181638,786071.625,1448271.0
5,5-Jakkuru,9.065189876504316,9.065189876504316,9.065189876504316,9.065189876504316,9.065189876504316,0.7252151901203453,786321.625,1448271.0
5,5-Jakkuru,11.767605638372368,11.767605638372368,11.767605638372368,11.767605638372368,11.767605638372368,0.9414084510697894,786571.625,1448271.0
3,3-Atturu,43.862385840902164,43.862385840902164,43.862385840902164,,43.862385840902164,4.591894878873137,775571.625,1448521.0
3,3-Atturu,43.1992566600962,43.1992566600962,43.1992566600962,,43.1992566600962,4.819260247014795,775821.625,1448521.0
3,3-Atturu,43.51256195555954,43.51256195555954,43.51256195555954,,43.51256195555954,5.048766193664831,776071.625,1448521.0
3,3-Atturu,44.25065059011705,44.25065059011705,44.25065059011705,,44.25065059011705,5.280133599458316,776321.625,1448521.0
3,3-Atturu,46.657596243184116,46.657596243184116,36.137099031764954,,46.657596243184116,5.052163032920377,776571.625,1448521.0
3,3-Atturu,33.06356238921405,33.06356238921405,33.06356238921405,33.06356238921405,33.06356238921405,4.808219188118946,776821.625,1448521.0
3,3-Atturu,30.179375420996227,30.179375420996227,30.179375420996227,30.179375420996227,30.179375420996227,4.564930690687781,777071.625,1448521.0
3,3-Atturu,30.42849442188022,30.42849442188022,30.42849442188022,30.42849442188022,30.42849442188022,4.322408201520446,777321.625,1448521.0
3,3-Atturu,29.54123231633226,29.54123231633226,29.54123231633226,29.54123231633226,29.54123231633226,4.080788295214445,777571.625,1448521.0
9,9-Vidyaranyapura,31.20495005605586,31.20495005605586,31.20495005605586,31.20495005605586,31.20495005605586,3.8402413413934298,777821.625,1448521.0
9,9-Vidyaranyapura,,,33.886153671435245,,,3.6009823673457775,778071.625,1448521.0
9,9-Vidyaranyapura,,,,,,3.363286258962088,778321.625,1448521.0
9,9-Vidyaranyapura,,,,,,3.1275093780053154,778571.625,1448521.0
9,9-Vidyaranyapura,,,,,,2.894120826658623,778821.625,1448521.0
9,9-Vidyaranyapura,,,52.11534687543692,,,2.6637484507901985,779071.625,1448521.0
4,4-Yelahanka Satellite Town,,,25.390715805860776,,,2.437247681068787,779321.625,1448521.0
4,4-Yelahanka Satellite Town,46.025379886159314,46.025379886159314,21.899431654784948,,46.025379886159314,2.215806108093209,779571.625,1448521.0
4,4-Yelahanka Satellite Town,19.90888935363951,19.90888935363951,19.90888935363951,19.90888935363951,19.90888935363951,2.001103984917118,779821.625,1448521.0
4,4-Yelahanka Satellite Town,19.297499226798813,19.297499226798813,19.297499226798813,19.297499226798813,19.297499226798813,1.7955605275899684,780071.625,1448521.0
4,4-Yelahanka Satellite Town,20.03379199170102,20.03379199170102,20.03379199170102,20.03379199170102,20.03379199170102,1.6027033593360815,780321.625,1448521.0
4,4-Yelahanka Satellite Town,17.846036446396667,17.846036446396667,17.846036446396667,17.846036446396667,17.846036446396667,1.4276829157117334,780571.625,1448521.0
4,4-Yelahanka Satellite Town,15.97311685694099,15.97311685694099,15.97311685694099,15.97311685694099,15.97311685694099,1.2778493485552793,780821.625,1448521.0
4,4-Yelahanka Satellite Town,14.537233485256632,14.537233485256632,14.537233485256632,14.537233485256632,14.537233485256632,1.1629786788205305,781071.625,1448521.0
4,4-Yelahanka Satellite Town,13.67673581978686,13.67673581978686,13.67673581978686,13.67673581978686,13.67673581978686,1.0941388655829487,781321.625,1448521.0
1,1-Kempegowda Ward,13.502084948763107,13.502084948763107,13.502084948763107,13.502084948763107,13.502084948763107,1.0801667959010486,781571.625,1448521.0
1,1-Kempegowda Ward,14.03890106963467,14.03890106963467,14.03890106963467,14.03890106963467,14.03890106963467,1.1231120855707737,781821.625,1448521.0
1,1-Kempegowda Ward,15.21204912305912,15.21204912305912,15.21204912305912,15.21204912305912,15.21204912305912,1.2169639298447297,782071.625,1448521.0
1,1-Kempegowda Ward,16.889445929388508,16.889445929388508,16.889445929388508,16.889445929388508,16.889445929388508,1.3511556743510804,782321.625,1448521.0
1,1-Kempegowda Ward,18.937570569666857,18.937570569666857,18.937570569666857,18.937570569666857,18.937570569666857,1.5150056455733485,782571.625,1448521.0
5,5-Jakkuru,21.249494684826896,21.249494684826896,21.249494684826896,21.249494684826896,21.249494684826896,1.6999595747861518,782821.625,1448521.0
5,5-Jakkuru,23.74829929994695,23.74829929994695,23.74829929994695,23.74829929994695,23.74829929994695,1.899863943995756,783071.625,1448521.0
5,5-Jakkuru,,,40.988113350478294,,,2.110474699086228,783321.625,1448521.0
5,5-Jakkuru,,,42.9991183264774,,,2.2542976898705698,783571.625,1448521.0
5,5-Jakkuru,,,,,,2.016722805523882,783821.625,1448521.0
5,5-Jakkuru,22.28187209539843,22.28187209539843,22.28187209539843,22.28187209539843,22.28187209539843,1.7825497676318744,784071.625,1448521.0
5,5-Jakkuru,19.416473650971536,19.416473650971536,19.416473650971536,19.416473650971536,19.416473650971536,1.5533178920777229,784321.625,1448521.0
5,5-Jakkuru,16.644768667724065,16.644768667724065,16.644768667724065,16.644768667724065,16.644768667724065,1.3315814934179253,784571.625,1448521.0
5,5-Jakkuru,14.022426643246366,14.022426643246366,14.022426643246366,14.022426643246366,14.022426643246366,1.1217941314597093,784821.625,1448521.0
